country,ISO_3,capital_lat,capital_lon,event_date,Battles_Armed clash,Battles_Government regains territory,Battles_Non-state actor overtakes territory,Explosions/Remote violence_Air/drone strike,Explosions/Remote violence_Chemical weapon,Explosions/Remote violence_Grenade,Explosions/Remote violence_Remote explosive/landmine/IED,Explosions/Remote violence_Shelling/artillery/missile attack,Explosions/Remote violence_Suicide bomb,Protests_Excessive force against protesters,Protests_Peaceful protest,Protests_Protest with intervention,Riots_Mob violence,Riots_Violent demonstration,Strategic developments_Agreement,Strategic developments_Arrests,Strategic developments_Change to group/activity,Strategic developments_Disrupted weapons use,Strategic developments_Headquarters or base established,Strategic developments_Looting/property destruction,Strategic developments_Non-violent transfer of territory,Strategic developments_Other,Violence against civilians_Abduction/forced disappearance,Violence against civilians_Attack,Violence against civilians_Sexual violence,Fatalities_Remote explosive/landmine/IED,Fatalities_Shelling/artillery/missile attack,Fatalities_Armed clash,Fatalities_Air/drone strike,Fatalities_Attack,Fatalities_Peaceful protest,Fatalities_Non-state actor overtakes territory,Fatalities_Abduction/forced disappearance,Fatalities_Disrupted weapons use,Fatalities_Government regains territory,Fatalities_Mob violence,Fatalities_Change to group/activity,Fatalities_Suicide bomb,Fatalities_Non-violent transfer of territory,Fatalities_Protest with intervention,Fatalities_Looting/property destruction,Fatalities_Arrests,Fatalities_Sexual violence,Fatalities_Headquarters or base established,Fatalities_Grenade,Fatalities_Violent demonstration,Fatalities_Agreement,Fatalities_Excessive force against protesters,Fatalities_Other,Fatalities_Chemical weapon,violence index,quarter,month,week,General,Legislative,Local,Parliamentary,Presidential,Referendum,holiday,violence index_moving_avg,violence index_exp_moving_avg
Pakistan,PAK,30.3753,69.3451,2010-01-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.967038909168885,1,1,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,34.967038909168885
Pakistan,PAK,30.3753,69.3451,2010-01-08,10.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,2.0,26.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.33787058670283,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.64140991586828
Pakistan,PAK,30.3753,69.3451,2010-01-15,10.0,1.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,64.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,36.0,39.0,7.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,88.46348581117172,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.59695994965332
Pakistan,PAK,30.3753,69.3451,2010-01-22,24.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,0.0,0.0,60.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,54.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.94148546858025,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.00618732772603
Pakistan,PAK,30.3753,69.3451,2010-01-29,30.0,0.0,0.0,5.0,0.0,0.0,8.0,4.0,2.0,1.0,60.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,3.0,116.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.2879794537587,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.33757570984047
Pakistan,PAK,30.3753,69.3451,2010-02-05,28.0,2.0,0.0,3.0,0.0,1.0,7.0,2.0,2.0,0.0,39.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,41.0,2.0,92.0,36.0,19.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,191.96878664763236,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,52.795357254662804
Pakistan,PAK,30.3753,69.3451,2010-02-12,10.0,3.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,67.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64770776863848,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,55.16714406651094
Pakistan,PAK,30.3753,69.3451,2010-02-19,10.0,1.0,0.0,6.0,0.0,0.0,6.0,3.0,2.0,2.0,171.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,18.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,163.70548268205218,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,59.26293042936155
Pakistan,PAK,30.3753,69.3451,2010-02-26,24.0,0.0,0.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,81.0,4.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,60.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.40095150204976,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.94738405474602
Pakistan,PAK,30.3753,69.3451,2010-03-05,20.0,2.0,0.0,1.0,0.0,2.0,11.0,1.0,4.0,3.0,36.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,30.0,60.0,7.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,210.96295931702255,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,69.49514161181305
Pakistan,PAK,30.3753,69.3451,2010-03-12,14.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,2.0,0.0,66.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,9.0,3.0,32.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.33238146594556,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,73.45126387045957
Pakistan,PAK,30.3753,69.3451,2010-03-19,31.0,0.0,0.0,4.0,0.0,1.0,9.0,2.0,0.0,0.0,96.0,1.0,7.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,3.0,0.0,154.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,234.3797775446406,1,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.52403797137207
